"Udledning af drivhusgasser efter enhed, kilde, branche, type,"
"drivhusgas, område og tid"

" ";" ";" ";" ";" ";" ";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011"
"Udledning i ton"
" ";"I alt"
" ";" ";"I alt"
" ";" ";" ";"Faktisk udledning"
" ";" ";" ";" ";"CO2"
" ";" ";" ";" ";" ";"Furesø";104;107;82;88;89;91;67;63;127;108;114;103
" ";" ";" ";" ";" ";"Allerød";220;150;159;108;162;111;75;521;573;558;519;505
" ";" ";" ";" ";" ";"Fredensborg";402;410;436;398;405;308;179;177;188;200;204;195
" ";" ";" ";" ";" ";"Helsingør";752;829;732;615;608;582;635;512;487;454;537;471
" ";" ";" ";" ";" ";"Hillerød";913;936;873;869;828;721;624;628;516;566;635;571
" ";" ";" ";" ";" ";"Hørsholm";1385;1359;1246;1208;1112;1209;1273;1071;1089;1050;987;964
" ";" ";" ";" ";" ";"Rudersdal";209;205;194;182;170;162;153;160;147;138;171;141
" ";" ";" ";" ";" ";"Egedal";282;286;314;298;307;294;196;349;236;330;306;287
" ";" ";" ";" ";" ";"Frederikssund";1839;1737;1912;1149;854;547;762;925;1037;1044;1018;974
" ";" ";" ";" ";" ";"Greve";412;453;343;300;322;304;250;237;312;273;281;266
" ";" ";" ";" ";" ";"Køge";630;557;639;520;465;451;364;421;418;423;435;406
" ";" ";" ";" ";" ";"Halsnæs";240;200;194;235;224;197;367;263;536;373;468;453
" ";" ";" ";" ";" ";"Roskilde";2577;2465;2210;1820;1548;1384;1438;1284;1761;1686;1650;1583
" ";" ";" ";" ";" ";"Solrød";52;49;44;54;39;44;36;42;43;46;41;40
" ";" ";" ";" ";" ";"Gribskov";661;707;534;650;636;706;570;617;520;738;643;620
" ";" ";" ";" ";" ";"Odsherred";884;977;1007;955;820;913;689;906;1420;786;1091;1072
" ";" ";" ";" ";" ";"Holbæk";2223;2472;2454;1888;1969;1783;1734;1274;1398;1405;1418;1387
" ";" ";" ";" ";" ";"Faxe";773;661;644;605;638;595;409;646;449;529;518;503
