"Udledning af drivhusgasser efter enhed, branche, type, kilde,"
"drivhusgas, område og tid"

" ";" ";" ";" ";" ";" ";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011"
"Udledning i ton"
" ";"I alt"
" ";" ";"Faktisk udledning"
" ";" ";" ";"Fossile brændsler (olie, kul, gas)"
" ";" ";" ";" ";"CO2"
" ";" ";" ";" ";" ";"Furesø";74;77;65;61;58;57;42;33;47;43;46;41
" ";" ";" ";" ";" ";"Allerød";81;78;68;62;58;51;44;39;38;39;26;24
" ";" ";" ";" ";" ";"Fredensborg";79;81;69;62;55;45;38;34;31;34;36;35
" ";" ";" ";" ";" ";"Helsingør";340;380;338;286;277;241;200;173;189;159;240;185
" ";" ";" ";" ";" ";"Hillerød";526;545;483;445;446;358;329;315;274;274;362;305
" ";" ";" ";" ";" ";"Hørsholm";57;53;48;42;34;28;25;22;22;26;22;21
" ";" ";" ";" ";" ";"Rudersdal";188;181;170;154;138;129;118;113;105;102;119;105
" ";" ";" ";" ";" ";"Egedal";129;136;118;108;106;90;76;64;68;65;75;64
" ";" ";" ";" ";" ";"Frederikssund";184;196;174;165;165;89;131;121;123;122;139;112
" ";" ";" ";" ";" ";"Greve";106;107;96;89;88;64;53;48;43;49;54;49
" ";" ";" ";" ";" ";"Køge";259;275;371;348;319;278;224;216;212;188;220;199
" ";" ";" ";" ";" ";"Halsnæs";67;71;51;54;37;42;27;24;25;35;41;39
" ";" ";" ";" ";" ";"Roskilde";126;117;106;98;99;83;72;63;58;65;75;56
" ";" ";" ";" ";" ";"Solrød";37;36;31;26;26;22;20;17;16;17;16;18
" ";" ";" ";" ";" ";"Gribskov";86;90;82;79;76;70;56;59;61;53;64;51
" ";" ";" ";" ";" ";"Odsherred";140;137;123;156;170;116;87;77;76;73;78;74
" ";" ";" ";" ";" ";"Holbæk";158;154;136;125;128;109;98;90;93;90;100;88
" ";" ";" ";" ";" ";"Faxe";80;74;70;64;63;61;56;49;48;44;48;43
" ";" ";" ";" ";" ";"Kalundborg";194;174;148;128;95;95;117;105;85;85;74;64
" ";" ";" ";" ";" ";"Ringsted";110;124;110;105;107;68;63;59;69;61;62;46
" ";" ";" ";" ";" ";"Slagelse";204;204;191;198;165;139;142;118;105;100;112;96
" ";" ";" ";" ";" ";"Stevns";151;150;125;118;116;92;73;49;50;43;50;41
" ";" ";" ";" ";" ";"Sorø";111;114;99;89;91;80;62;59;61;55;66;63
" ";" ";" ";" ";" ";"Lejre";56;54;50;44;41;37;33;32;27;23;26;23
" ";" ";" ";" ";" ";"Lolland";48;37;36;39;40;42;37;39;50;36;33;29
" ";" ";" ";" ";" ";"Næstved";278;259;232;217;197;169;136;122;111;118;144;121
" ";" ";" ";" ";" ";"Guldborgsund";47;35;36;38;37;36;31;35;43;34;29;25
" ";" ";" ";" ";" ";"Vordingborg";263;225;226;219;215;190;119;95;91;72;77;74
" ";" ";" ";" ";" ";"Bornholm";27;21;21;20;19;17;16;17;18;15;13;11
" ";" ";" ";" ";" ";"Middelfart";124;121;104;98;102;88;73;63;63;57;64;56
" ";" ";" ";" ";" ";"Assens";203;192;167;164;161;137;105;89;75;71;78;67
" ";" ";" ";" ";" ";"Faaborg-Midtfyn";381;397;338;322;330;251;168;138;139;118;131;113
" ";" ";" ";" ";" ";"Kerteminde";145;131;115;128;120;89;69;61;62;57;46;42
" ";" ";" ";" ";" ";"Nyborg";78;64;56;51;56;49;40;37;35;32;28;26
" ";" ";" ";" ";" ";"Odense";2493;2247;1749;1246;761;623;324;246;211;203;224;193
" ";" ";" ";" ";" ";"Svendborg";180;221;191;176;174;139;106;81;85;90;92;99
